Country;Most Recent Year;Most Recent Value
St. Lucia;2019;15.7
Armenia;2019;13
Aruba;2019;10.6000
Antigua and Barbuda;2019;8.9
Andorra;2019;7.7
Ireland;2019;7.4
Saudi Arabia;2019;7.3
United Arab Emirates;2019;7
India;2019;6.5
Albania;2019;6.1
St. Vincent and the Grenadines;2019;5.3
Turks and Caicos Islands;2019;4.8
Iraq;2019;4.7
Indonesia;2019;4.6
Iceland;2019;4.6
Turkiye;2019;4.5
Argentina;2019;4
Qatar;2019;3.9
Austria;2019;3.8
Latvia;2019;3.6
American Samoa;2019;3.5
Togo;2019;3.4
Australia;2019;3
Iran, Islamic Rep.;2019;3
Liberia;2019;2.6
Thailand;2019;2.5
Tanzania;2019;1.5
Lao PDR;2019;1.3
Jordan;2019;1.2
Trinidad and Tobago;2019;1.1
Lesotho;2019;0
Angola;2019;-0.1
Tuvalu;2019;-0.3
Chad;2019;-0.9
Libya;2019;-2.4
Sri Lanka;2019;-7.9
Ukraine;2019;-17.1
